model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold
LogisticCV,0.0,3,0.20503050277398627,4.454545454545454,0.8421052631578947,0.7272727272727273,0.999998863617424,0.7804878048780488,0.8636357954450756,0.4090875000284089,0.8181750000568178,0.000999994507529987,1
RandomForest,0.0,3,0.1985509900224339,0.045454545454545456,0.8,0.9090909090909091,0.9999981060290398,0.851063829787234,0.9545445075599744,0.6818125000473482,0.27272500001893923,0.0009999964014851639,1
ExtraTrees,0.0,3,0.20062837520144872,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.999999242411616,0.9090909090909091,0.9545450757512626,0.27272500001893923,0.27272500001893923,0.0009999977272537877,1
Rocket,0.0,3,4.023338063895289,0.5454545454545454,0.3333333333333333,0.8181818181818182,0.9999863634090871,0.47368421052631576,0.9090840907954527,4.9090500003409065,0.5454500000378785,0.0009999813129755878,1
Catch22,0.0,3,6.329435647735124,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.9999969696464638,0.8,0.9545439393686864,1.090900000075757,0.27272500001893923,0.00099999507571654,1
QUANT,0.0,3,2.3578663151030677,0.7727272727272727,0.8333333333333334,0.9090909090909091,0.999998484823232,0.8695652173913043,0.9545446969570706,0.5454500000378785,0.27272500001893923,0.0009999968434080387,1
Ensemble-All,,3,0.0035544134055574736,0.9545454545454546,0.8695652173913043,0.9090909090909091,0.999998863617424,0.8888888888888888,0.9545448863541666,0.4090875000284089,0.27272500001893923,0.0009999972853309133,1
Ensemble-tabular,,3,0.004886452419062455,4.636363636363637,0.9411764705882353,0.7272727272727273,0.999999621205808,0.8205128205128205,0.8636361742392676,0.13636250000946962,0.8181750000568178,0.0009999953913757363,1
Ensemble-ts,,3,0.006598683074116707,1.9090909090909092,0.6923076923076923,0.8181818181818182,0.9999969696464638,0.75,0.909089393914141,1.090900000075757,0.5454500000378785,0.000999993686816077,1
LogisticCV,0.0,3,0.0731737336085099,4.588529411764705,0.896551724137931,0.7647058823529411,0.9999992646936272,0.8253968253968254,0.8823525735232842,0.2647036764889704,0.7058764706372544,0.0009999955473485155,2
RandomForest,0.0,3,0.11770282392592657,3.9120588235294114,0.7878787878787878,0.7647058823529411,0.9999982842851303,0.7761194029850746,0.8823520833190357,0.6176419118075976,0.7058764706372544,0.0009999944035481343,2
ExtraTrees,0.0,3,0.16854054583347847,4.559117647058823,0.8928571428571429,0.7352941176470589,0.9999992646936272,0.8064516129032258,0.8676466911703431,0.2647036764889704,0.7941110294669113,0.0009999950979983658,2
Rocket,0.0,3,3.893181611956039,0.24999999999999978,0.44776119402985076,0.8823529411764706,0.9999909312214027,0.594059405940594,0.9411719361989366,3.2646786766973017,0.3529382353186272,0.0009999876224458734,2
Catch22,0.0,3,8.170036761257723,2.769705882352941,0.8235294117647058,0.8235294117647058,0.9999985293872545,0.8235294117647058,0.9117639705759801,0.5294073529779408,0.5294073529779408,0.0009999955881985292,2
QUANT,0.0,3,2.3195092715049173,-0.34911764705882353,0.8461538461538461,0.9705882352941176,0.9999985293872545,0.9041095890410958,0.9852933823406861,0.5294073529779408,0.0882345588296568,0.0009999978349492782,2
Ensemble-All,,3,0.005300772686799367,1.464705882352941,0.8571428571428571,0.8823529411764706,0.9999987744893788,0.8695652173913043,0.9411758578329247,0.44117279414828403,0.3529382353186272,0.000999996772848924,2
Ensemble-tabular,,3,0.008158350363373756,4.412058823529412,0.896551724137931,0.7647058823529411,0.9999992646936272,0.8253968253968254,0.8823525735232842,0.2647036764889704,0.7058764706372544,0.0009999955473485155,2
Ensemble-ts,,3,0.010782158623139063,0.9264705882352942,0.7380952380952381,0.9117647058823529,0.9999973038766332,0.8157894736842105,0.955881004879493,0.9705801471262249,0.2647036764889704,0.0009999955064985018,2
LogisticCV,0.0,3,0.07775074133338566,1.3333333333333333,0.6153846153846154,0.8888888888888888,0.9999953702932086,0.7272727272727273,0.9444421295910488,1.6666527778935176,0.3333305555787035,0.000999992901175411,3
RandomForest,0.0,3,0.11986526631375294,1.3333333333333333,0.4444444444444444,0.8888888888888888,0.9999907405864171,0.5925925925925926,0.9444398147376529,3.3333055557870352,0.3333305555787035,0.0009999874998958326,3
ExtraTrees,0.0,3,0.124128508193783,1.3333333333333333,0.6666666666666666,0.8888888888888888,0.9999962962345669,0.7619047619047619,0.9444425925617279,1.333322222314814,0.3333305555787035,0.0009999939814313266,3
Rocket,0.0,3,4.185361996375837,1.3333333333333333,0.42105263157894735,0.8888888888888888,0.9999898146450589,0.5714285714285714,0.9444393517669738,3.666636111365739,0.3333305555787035,0.0009999864196399168,3
Catch22,0.0,3,5.164910473461079,8.11111111111111,0.22727272727272727,0.5555555555555556,0.9999842589969092,0.3225806451612903,0.7777699072762324,5.66661944483796,1.333322222314814,0.0009999748454693914,3
QUANT,0.0,3,2.1415490042792436,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759251,0.8,0.944443055532407,0.9999916667361105,0.3333305555787035,0.0009999950616872426,3
Ensemble-All,,3,0.001444140759607156,1.3333333333333333,0.8888888888888888,0.8888888888888888,0.9999990740586417,0.8888888888888888,0.9444439814737653,0.3333305555787035,0.3333305555787035,0.000999997222199074,3
Ensemble-tabular,,3,0.0026629045605659485,1.3333333333333333,0.8,0.8888888888888888,0.9999981481172834,0.8421052631578947,0.9444435185030862,0.666661111157407,0.3333305555787035,0.0009999961419431584,3
Ensemble-ts,,3,0.003585115075111389,1.3333333333333333,0.5333333333333333,0.8888888888888888,0.999993518410492,0.6666666666666666,0.9444412036496904,2.3333138890509244,0.3333305555787035,0.0009999907406635796,3
LogisticCV,0.0,3,0.0749379112077142,4.6,0.8461538461538461,0.7333333333333333,0.99999888887037,0.7857142857142857,0.8666661111018517,0.3999966666944442,0.7999933333888885,0.0009999946295848763,4
RandomForest,0.0,3,0.1287828415876211,4.604666666666666,0.5789473684210527,0.7333333333333333,0.9999955554814802,0.6470588235294118,0.8666644444074068,1.599986666777777,0.7999933333888885,0.0009999907406635796,4
ExtraTrees,0.0,3,0.1229442841496015,6.0,0.7142857142857143,0.6666666666666666,0.9999977777407402,0.6896551724137931,0.8333322222037034,0.7999933333888885,0.9999916667361106,0.000999992314750771,4
Rocket,0.0,3,3.8994884047776845,-3.5953333333333335,0.48148148148148145,0.8666666666666667,0.9999922220925904,0.6190476190476191,0.9333294443796285,2.79997666686111,0.3999966666944442,0.0009999888887962955,4
Catch22,0.0,3,4.935846919929028,0.6713333333333333,0.5714285714285714,0.8,0.9999949999166653,0.6666666666666666,0.8999974999583327,1.799985000124999,0.5999950000416664,0.0009999911110370363,4
QUANT,0.0,3,2.952683665117475,1.8046666666666666,0.7222222222222222,0.8666666666666667,0.9999972221759251,0.7878787878787878,0.933331944421296,0.9999916667361106,0.3999966666944442,0.0009999947221782403,4
Ensemble-All,,3,0.002451261350264152,1.8713333333333333,0.8125,0.8666666666666667,0.9999983333055551,0.8387096774193549,0.9333324999861109,0.5999950000416664,0.3999966666944442,0.000999996018485339,4
Ensemble-tabular,,3,0.004047908199330171,4.6,0.7333333333333333,0.7333333333333333,0.9999977777407402,0.7333333333333333,0.8666655555370367,0.7999933333888885,0.7999933333888885,0.0009999933332777774,4
Ensemble-ts,,3,0.004874492374559243,-0.662,0.6842105263157895,0.8666666666666667,0.9999966666111102,0.7647058823529411,0.9333316666388884,1.1999900000833328,0.3999966666944442,0.0009999940740246908,4
LogisticCV,0.0,3,0.07530578829794977,7.5675675675675675,0.7857142857142857,0.5945945945945946,0.9999986413440368,0.676923076923077,0.7972966179693157,0.4891038530514646,1.2227596326286616,0.0009999921877936653,5
RandomForest,0.0,3,0.11543361261127799,5.089729729729729,0.65,0.7027027027027027,0.9999968298027526,0.6753246753246753,0.8513497662527276,1.1412423237867508,0.8966903972610184,0.0009999917349121387,5
ExtraTrees,0.0,3,0.11988568542795847,5.702702702702703,0.8064516129032258,0.6756756756756757,0.9999986413440368,0.7352941176470589,0.8378371585098563,0.4891038530514646,0.9782077061029292,0.0009999934332178637,5
Rocket,0.0,3,3.8879697195601866,0.8413513513513514,0.47058823529411764,0.8648648648648649,0.9999918480642209,0.6095238095238096,0.9324283564645429,2.9346231183087874,0.4075865442095538,0.0009999884137809432,5
Catch22,0.0,3,4.946502502829013,2.744864864864865,0.5087719298245614,0.7837837837837838,0.9999936596055052,0.6170212765957447,0.8918887216946445,2.2824846475735017,0.6521384707352861,0.0009999892818038693,5
QUANT,0.0,3,2.3784226864594022,3.3732432432432433,0.8285714285714286,0.7837837837837838,0.9999986413440368,0.8055555555555556,0.8918912125639102,0.4891038530514646,0.6521384707352861,0.0009999950937834613,5
Ensemble-All,,3,0.0055715893395245075,4.143783783783784,0.7567567567567568,0.7567567567567568,0.9999979620160553,0.7567567567567568,0.878377359386406,0.7336557795771969,0.7336557795771969,0.0009999938860993903,5
Ensemble-tabular,,3,0.008596020440260569,6.324324324324325,0.7741935483870968,0.6486486486486487,0.9999984149013763,0.7058823529411765,0.8243235317750125,0.5706211618933754,1.05972501494484,0.0009999927538955737,5
Ensemble-ts,,3,0.01309022307395935,3.1927027027027024,0.5370370370370371,0.7837837837837838,0.9999943389334868,0.6373626373626373,0.8918890613586352,2.037932721047769,0.6521384707352861,0.000999990074346541,5
LogisticCV,0.0,5,0.2125139841833272,2.1818181818181817,0.8181818181818182,0.8181818181818182,0.9999984847979781,0.8181818181818182,0.9090901514898981,0.5454500000378785,0.5454500000378785,0.0009999954544318154,1
RandomForest,0.0,5,0.26862930279020986,0.045454545454545456,0.8333333333333334,0.9090909090909091,0.9999984847979781,0.8695652173913043,0.9545446969444435,0.5454500000378785,0.27272500001893923,0.0009999968433554273,1
ExtraTrees,0.0,5,0.27015805887899674,-0.045454545454545456,0.9130434782608695,0.9545454545454546,0.9999992423989891,0.9333333333333333,0.9772723484722219,0.27272500001893923,0.13636250000946962,0.0009999984216777136,1
Rocket,0.0,5,5.928610214621927,1.3636363636363635,0.2903225806451613,0.8181818181818182,0.9999833327777593,0.42857142857142855,0.9090825754797888,5.999950000416663,0.5454500000378785,0.0009999777772222082,1
Catch22,0.0,5,10.369323796745672,1.6818181818181819,0.6785714285714286,0.8636363636363636,0.9999965907954508,0.76,0.9318164772159072,1.2272625000852266,0.4090875000284089,0.0009999939392424204,1
QUANT,0.0,5,3.1852851382537035,0.7727272727272727,0.8,0.9090909090909091,0.9999981059974726,0.851063829787234,0.9545445075441908,0.6818125000473482,0.27272500001893923,0.000999996401425187,1
Ensemble-All,,5,0.003955425228923559,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.9999984847979781,0.8695652173913043,0.9545446969444435,0.5454500000378785,0.27272500001893923,0.0009999968433554273,1
Ensemble-tabular,,5,0.007043530233204365,-0.13636363636363635,0.9130434782608695,0.9545454545454546,0.9999992423989891,0.9333333333333333,0.9772723484722219,0.27272500001893923,0.13636250000946962,0.0009999984216777136,1
Ensemble-ts,,5,0.008470944128930569,0.7272727272727273,0.6333333333333333,0.8636363636363636,0.9999958331944399,0.7307692307692307,0.9318160984154018,1.4999875001041658,0.4090875000284089,0.00099999305538194,1
LogisticCV,0.0,5,0.0985084767474302,4.588529411764705,0.896551724137931,0.7647058823529411,0.9999992646813717,0.8253968253968254,0.8823525735171565,0.2647036764889704,0.7058764706372544,0.0009999955472743027,2
RandomForest,0.0,5,0.24307185156753625,2.6276470588235297,0.8,0.8235294117647058,0.999998284256534,0.8115942028985508,0.9117638480106199,0.6176419118075976,0.5294073529779408,0.000999995302170136,2
ExtraTrees,0.0,5,0.13129695234478095,4.500294117647059,0.8928571428571429,0.7352941176470589,0.9999992646813717,0.8064516129032258,0.8676466911642153,0.2647036764889704,0.7941110294669113,0.0009999950979166635,2
Rocket,0.0,5,5.878606477991587,0.014705882352941176,0.45454545454545453,0.8823529411764706,0.9999911761764608,0.6,0.9411720586764657,3.176444117867645,0.3529382353186272,0.000999987908194437,2
Catch22,0.0,5,8.560487874593795,2.209705882352941,0.8529411764705882,0.8529411764705882,0.9999987744689529,0.8529411764705882,0.9264699754697705,0.44117279414828403,0.44117279414828403,0.0009999963234374977,2
QUANT,0.0,5,3.50190340341228,0.7294117647058823,0.8157894736842105,0.9117647058823529,0.999998284256534,0.8611111111111112,0.9558814950694434,0.6176419118075976,0.2647036764889704,0.0009999966502430536,2
Ensemble-All,,5,0.007491975246618192,1.5002941176470586,0.9090909090909091,0.8823529411764706,0.9999992646813717,0.8955223880597015,0.9411761029289212,0.2647036764889704,0.3529382353186272,0.0009999973447048594,2
Ensemble-tabular,,5,0.00915616781761249,4.412058823529412,0.896551724137931,0.7647058823529411,0.9999992646813717,0.8253968253968254,0.8823525735171565,0.2647036764889704,0.7058764706372544,0.0009999955472743027,2
Ensemble-ts,,5,0.012829123064875603,-0.45588235294117646,0.7111111111111111,0.9411764705882353,0.9999968136192775,0.810126582278481,0.9705866421037563,1.1470492647855384,0.1764691176593136,0.000999995383871525,2
LogisticCV,0.0,5,0.09402311526983839,-0.5555555555555556,0.5714285714285714,0.8888888888888888,0.9999944442592531,0.6956521739130435,0.9444416665740709,1.999983333472221,0.3333305555787035,0.000999991820783174,3
RandomForest,0.0,5,0.1362402918385556,1.3333333333333333,0.4444444444444444,0.8888888888888888,0.9999907404320885,0.5925925925925926,0.9444398146604887,3.3333055557870352,0.3333305555787035,0.0009999874996874923,3
ExtraTrees,0.0,5,0.1374389974831581,-2.5555555555555554,0.6153846153846154,0.8888888888888888,0.9999953702160442,0.7272727272727273,0.9444421295524665,1.6666527778935176,0.3333305555787035,0.0009999929010570945,3
Rocket,0.0,5,5.8416590612805095,-1.8888888888888888,0.47368421052631576,1.0,0.9999907404320885,0.6428571428571429,0.9999953702160442,3.3333055557870352,0.0,0.0009999891972607955,3
Catch22,0.0,5,12.28669775695493,8.333333333333334,0.2631578947368421,0.5555555555555556,0.9999870366049238,0.35714285714285715,0.7777712960802396,4.666627778101849,1.333322222314814,0.0009999780858719,3
QUANT,0.0,5,2.933486802617958,1.3333333333333333,0.8,0.8888888888888888,0.9999981480864177,0.8421052631578947,0.9444435184876533,0.666661111157407,0.3333305555787035,0.0009999961418788558,3
Ensemble-All,,5,0.0017982957263787587,-1.0,0.8181818181818182,1.0,0.9999981480864177,0.9,0.9999990740432089,0.666661111157407,0.0,0.0009999978394521591,3
Ensemble-tabular,,5,0.0030089917903145156,1.3333333333333333,0.8,0.8888888888888888,0.9999981480864177,0.8421052631578947,0.9444435184876533,0.666661111157407,0.3333305555787035,0.0009999961418788558,3
Ensemble-ts,,5,0.004330735343197982,-1.7777777777777777,0.5625,1.0,0.999993518302462,0.72,0.999996759151231,2.3333138890509244,0.0,0.0009999924380825569,3
LogisticCV,0.0,5,0.09449933033734051,3.1333333333333333,0.8,0.8,0.9999983332777759,0.8,0.899999166638888,0.5999950000416664,0.5999950000416664,0.000999994999874997,4
RandomForest,0.0,5,0.13444271903508065,4.604666666666666,0.6470588235294118,0.7333333333333333,0.9999966665555519,0.6875,0.8666649999444426,1.1999900000833328,0.7999933333888885,0.000999992036837958,4
ExtraTrees,0.0,5,0.13684211712922142,4.6,0.6470588235294118,0.7333333333333333,0.9999966665555519,0.6875,0.8666649999444426,1.1999900000833328,0.7999933333888885,0.000999992036837958,4
Rocket,0.0,5,5.818703958564425,-2.1286666666666667,0.4482758620689655,0.8666666666666667,0.999991110814805,0.5909090909090909,0.9333288887407358,3.199973333555554,0.3999966666944442,0.0009999875922823995,4
Catch22,0.0,5,7.614439320683544,0.738,0.7058823529411765,0.8,0.9999972221296265,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,0.0009999937035462924,4
QUANT,0.0,5,3.0216808971134683,1.6046666666666667,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,0.0009999953702546267,4
Ensemble-All,,5,0.0027951678882042565,1.738,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,0.0009999953702546267,4
Ensemble-tabular,,5,0.004547522092858951,4.6,0.7333333333333333,0.7333333333333333,0.9999977777037012,0.7333333333333333,0.8666655555185172,0.7999933333888885,0.7999933333888885,0.0009999933331666625,4
Ensemble-ts,,5,0.0059599994371334715,-1.3286666666666667,0.6666666666666666,0.9333333333333333,0.9999961109814771,0.7777777777777778,0.9666647221574052,1.399988333430555,0.1999983333472221,0.0009999944443055521,4
LogisticCV,0.0,5,0.09648418012265876,7.054054054054054,0.71875,0.6216216216216216,0.9999979619819047,0.6666666666666666,0.8108097918017632,0.7336557795771969,1.1412423237867508,0.0009999918102551607,5
RandomForest,0.0,5,0.13062628531319262,5.468108108108108,0.6097560975609756,0.6756756756756757,0.9999963768567194,0.6410256410256411,0.8378360262661975,1.3042769414705722,0.9782077061029292,0.0009999907912546506,5
ExtraTrees,0.0,5,0.1335193601564549,5.054054054054054,0.7878787878787878,0.7027027027027027,0.9999984148748148,0.7428571428571429,0.8513505587887588,0.5706211618933754,0.8966903972610184,0.000999993584070863,5
Rocket,0.0,5,5.961576592859588,0.5016216216216217,0.40789473684210525,0.8378378378378378,0.9999898099095234,0.5486725663716814,0.9189138238736806,3.6682788978859846,0.4891038530514646,0.0009999856207705817,5
Catch22,0.0,5,11.307452982858361,3.4475675675675674,0.49122807017543857,0.7567567567567568,0.999993433052804,0.5957446808510638,0.8783750949047804,2.364001956415412,0.7336557795771969,0.0009999886022905924,5
QUANT,0.0,5,3.062577989174785,3.5083783783783784,0.8529411764705882,0.7837837837837838,0.9999988677677248,0.8169014084507042,0.8918913257757544,0.4075865442095538,0.6521384707352861,0.0009999953578865657,5
Ensemble-All,,5,0.006539524843295415,3.522162162162162,0.725,0.7837837837837838,0.9999975090889945,0.7532467532467533,0.8918906464363892,0.8966903972610184,0.6521384707352861,0.0009999937727746613,5
Ensemble-tabular,,5,0.00980755469451348,6.27027027027027,0.75,0.6486486486486487,0.9999981884283597,0.6956521739130435,0.8243234185385042,0.6521384707352861,1.05972501494484,0.0009999924895888342,5
Ensemble-ts,,5,0.015880891121923923,1.5608108108108107,0.5,0.8108108108108109,0.9999932066063488,0.6185567010309279,0.9054020087085799,2.445519265257323,0.5706211618933754,0.000999989168401987,5
LogisticCV,0.0,7,0.2853439314778781,0.5454545454545454,0.7916666666666666,0.8636363636363636,0.9999981059659043,0.8260869565217391,0.931817234801134,0.6818125000473482,0.4090875000284089,0.0009999957068918275,1
RandomForest,0.0,7,0.338682328949712,0.045454545454545456,0.7142857142857143,0.9090909090909091,0.9999969695454469,0.8,0.954543939318178,1.090900000075757,0.27272500001893923,0.0009999950755523903,1
ExtraTrees,0.0,7,0.3393863803715092,-0.045454545454545456,0.9130434782608695,0.9545454545454546,0.9999992423863617,0.9333333333333333,0.9772723484659082,0.27272500001893923,0.13636250000946962,0.0009999984216514071,1
Rocket,0.0,7,8.256335434518416,-1.2272727272727273,0.3225806451612903,0.9090909090909091,0.9999840901135966,0.47619047619047616,0.9545374996022529,5.727225000397724,0.27272500001893923,0.000999980049673787,1
Catch22,0.0,7,13.577651266479641,1.1363636363636365,0.6333333333333333,0.8636363636363636,0.9999958331249896,0.7307692307692307,0.9318160983806767,1.4999875001041658,0.4090875000284089,0.0009999930552661916,1
QUANT,0.0,7,4.57495576029335,-0.18181818181818182,0.75,0.9545454545454546,0.9999973483522661,0.84,0.9772714014488604,0.9545375000662873,0.13636250000946962,0.0009999962119633774,1
Ensemble-All,,7,0.004294013604521751,0.9545454545454546,0.8,0.9090909090909091,0.9999981059659043,0.851063829787234,0.9545445075284067,0.6818125000473482,0.27272500001893923,0.0009999964013652084,1
Ensemble-tabular,,7,0.006635446101427078,1.7727272727272727,0.95,0.8636363636363636,0.9999996211931809,0.9047619047619048,0.9318179924147723,0.13636250000946962,0.4090875000284089,0.0009999974746422516,1
Ensemble-ts,,7,0.009876804426312447,0.9545454545454546,0.5588235294117647,0.8636363636363636,0.9999943178977131,0.6785714285714286,0.9318153407670384,2.0454375001420444,0.4090875000284089,0.0009999912875157677,1
LogisticCV,0.0,7,0.11152356839837589,3.8238235294117646,0.8709677419354839,0.7941176470588235,0.9999990195588211,0.8307692307692308,0.8970583333088222,0.3529382353186272,0.6176419118075976,0.000999995710605589,2
RandomForest,0.0,7,0.14586917314644432,3.7649999999999997,0.7647058823529411,0.7647058823529411,0.9999980391176422,0.7647058823529411,0.8823519607352917,0.7058764706372544,0.7058764706372544,0.0009999941174019505,2
ExtraTrees,0.0,7,0.1435495783838918,5.000294117647059,0.8928571428571429,0.7352941176470589,0.9999992646691158,0.8064516129032258,0.8676466911580873,0.2647036764889704,0.7941110294669113,0.0009999950978349587,2
Rocket,0.0,7,7.8328967666679645,1.1323529411764706,0.4142857142857143,0.8529411764705882,0.9999899504779161,0.5576923076923077,0.9264655634742521,3.617616912015929,0.44117279414828403,0.0009999860288296327,2
